00601091,2201,W 85 ST,6,Cudell,35,136,4760,15,17,41.4726880302915,-81.74183966970851
00601094,2191,W 85 ST,6,Cudell,35,136,4760,15,0,41.47321598029149,-81.74147501970849
00602058,2169,83 ST,0, ,40,148,5920,15,0,41.50106518029149,-81.6282654697085
00603060,2087,81 ST,0, ,36,125,4500,15,0,41.5028963802915,-81.6307342197085
00603121,2044,83 ST,0, ,35,136,4760,15,0,41.50381773029149,-81.62824861970849
00604003,7925,MADISON AVE,0, ,40,123,4920,15,0,41.4782659802915,-81.73850001970848
00604005,7919,MADISON AVE,0, ,40,0,4960,15,0,41.47826698029149,-81.7382030197085
00604006,7915,MADISON AVE,0, ,40,0,4960,15,0,41.47826798029149,-81.73805401970849
00604013,0,MADISON AVE,8,Detroit-Shoreway,5,124,620,15,17,41.478842,-81.7260819
00604018,0,GUTHRIE AVE,8,Detroit-Shoreway,40,49,1955,15,17,41.47801948029151,-81.7302066
00604019,7700,GUTHRIE AVE,8,Detroit-Shoreway,40,52,2080,15,17,41.47818098029149,-81.73684991970849
00604023,7919,GUTHRIE AVE,0, ,30,100,3000,15,0,41.4778289802915,-81.7387630197085
00604046,7608,LAWN AVE,8,Detroit-Shoreway,30,49,1540,15,17,41.4774759802915,-81.7364824197085
00604051,7706,LAWN AVE,8,Detroit-Shoreway,35,115,4025,15,17,41.47754098029149,-81.73709601970849
00604055,7808,LAWN AVE,7, ,35,115,4039,15,17,41.4772963802915,-81.7378267697085
00604071,7813,LAWN AVE,7, ,35,126,4410,15,17,41.4770449802915,-81.73790801970848
00604082,7601,LAWN AVE,8,Detroit-Shoreway,35,126,4410,15,17,41.4770559802915,-81.73626601970848
00604086,7610,DUDLEY AVE,0, ,30,126,3780,15,0,41.4766669802915,-81.7365580197085
00604100,7904,DUDLEY AVE,8,Detroit-Shoreway,30,126,3780,15,17,41.4766549802915,-81.7382900197085
00604110,7807,DUDLEY AVE,8,Detroit-Shoreway,70,53,3710,15,17,41.4762552802915,-81.73778101970849
00604116,7601,DUDLEY AVE,8,Detroit-Shoreway,35,105,3675,15,17,41.4761999802915,-81.73615791970849
00604118,7816,EVE AVE,8,Detroit-Shoreway,35,69,2415,15,17,41.4760529802915,-81.73792701970848
00604152,7718,ELTON AVE,8,Detroit-Shoreway,35,126,4410,15,17,41.4754799802915,-81.73714001970849
00604163,7912,ELTON AVE,8,Detroit-Shoreway,35,126,4410,15,17,41.4749671802915,-81.73840621970848
00604166,7901,DUDLEY AVE,0, ,35,75,2625,15,0,41.4762239802915,-81.73809891970849
