00608029,7612,CLARK AVE,8,Detroit-Shoreway,35,63,2205,15,17
00609016,6700,COLGATE AVE,8,Detroit-Shoreway,35,109,3815,15,17
00609020,7114,ELTON AVE,0, ,35,38,1379,15,0
00609021,7204,ELTON AVE,8,Detroit-Shoreway,25,73,1825,15,17
00609035,7102,ELTON AVE,0, ,35,54,1890,15,0
00609052,6611,LAWN AVE,0, ,35,95,3325,15,0
00609053,6607,LAWN AVE,8,Detroit-Shoreway,35,87,3045,15,17
00609054,6603,LAWN AVE,0, ,35,80,2800,15,0
00609083,0,GUTHRIE AVE,8,Detroit-Shoreway,35,100,3500,15,17
00609093,7001,GUTHRIE AVE,8,Detroit-Shoreway,35,100,3500,15,17
00609097,6905,GUTHRIE AVE,8,Detroit-Shoreway,35,100,3500,15,17
00609098,6901,GUTHRIE AVE,8,Detroit-Shoreway,35,100,3500,15,17
00609126,6911,MADISON AVE,0, ,40,124,4960,15,0
00609146,2017,W 73 ST,8,Detroit-Shoreway,62,0,2265,15,17
00609152,7200,ELTON AVE,8,Detroit-Shoreway,25,66,1536,15,17
00610069,7100,COLGATE AVE,0, ,35,126,4410,15,0
00610070,7104,COLGATE AVE,8,Detroit-Shoreway,36,126,4536,15,17
00611021,2197,W 73 ST,8,Detroit-Shoreway,36,139,5004,15,17
00616020,2248,53 ST,0, ,36,120,4320,15,0
00617115,2128,53 ST,0, ,60,0,7920,15,0
00617117,53,W 53 ST,8,Detroit-Shoreway,74,98,72324,15,17
00619003,2005,W 52 ST,8,Detroit-Shoreway,0,0,7380,15,17
00619042,2015,W 52 ST,0, ,45,100,4200,15,0
00620050,2077,W 45 ST,0, ,22,137,2904,15,0
00620093,2053,W 47 ST,8,Detroit-Shoreway,40,125,4350,15,14
00620100,2025,47 ST,0, ,27,125,3375,15,0
00620106,47,W 47 ST,8,Detroit-Shoreway,40,125,5000,15,14
00620107,2030,W 47 ST,8,Detroit-Shoreway,41,0,5125,15,14
00620128,2021,W 48 ST,0, ,40,125,5000,15,0
00620129,48,W 48 ST,8,Detroit-Shoreway,40,125,5000,15,14
00620132,2072,W 48 ST,8,Detroit-Shoreway,30,63,1860,15,14
00622044,0,WALWORTH RD,8,Detroit-Shoreway,29,51,1479,15,17
00622050,0,WALWORTH RD,8,Detroit-Shoreway,111,0,6356,15,17
00622058,44,W 44 ST,8,Detroit-Shoreway,0,137,1518,15,17
00622141,2185,JUNCTION RD,8,Detroit-Shoreway,39,60,2280,15,17
00622147,2181,W 45 ST,8,Detroit-Shoreway,31,99,3069,15,17
00623067,3032,W 51 ST,0, ,40,132,5280,15,0
00623075,2193,W 53 ST,8,Detroit-Shoreway,40,63,2520,15,17
00623076,2199,W 53 ST,0, ,40,132,5280,15,0
00623080,2211,W 53 ST,8,Detroit-Shoreway,40,132,5280,15,17
00623086,2237,W 53 ST,0, ,30,132,3960,15,0
00623108,3051,50 ST,0, ,40,55,2200,15,0
00624011,44,W 44 ST,8,Detroit-Shoreway,40,103,4120,15,14
00624061,3051,47 ST,0, ,40,125,5000,15,0
00624065,47,W 47 ST,8,Detroit-Shoreway,1,125,125,15,14
00624071,3072,W 46 ST,8,Detroit-Shoreway,30,125,3750,15,14
00624074,3062,W 46 ST,8,Detroit-Shoreway,40,125,5000,15,14
00625010,8007,NEVILLE AVE,7,West Boulevard,30,125,5000,16,17
00625027,7275,NEVILLE AVE,4, ,0,0,24950,15,18
00625028,3311,W 73 ST,0, ,0,0,61485,15,0
00626028,7809,BRINSMADE AVE,7,West Boulevard,40,128,5120,16,17
00626097,7403,WENTWORTH AVE,7,West Boulevard,35,45,1536,16,17
00626142,7508,DEARBORN RD,7,West Boulevard,30,127,3810,16,17
00627043,0,CLARK AVE,7,West Boulevard,0,0,1041,16,17
00627061,3168,W 73 RD,7,West Boulevard,37,155,5735,16,17
00627087,8008,BRINSMADE AVE,0, ,29,114,3306,16,0
00628052,7108,DEARBORN AVE,0, ,31,60,1860,15,0
00628056,7122,DEARBORN AVE,9,Stockyards,35,131,4585,15,17
00628061,7138,DEARBORN AVE,0, ,40,131,5240,15,0
00628102,0,W 73 ST,9,Stockyards,0,0,9737,15,17
00629010,3149,W 73 ST,9,Stockyards,39,130,5070,15,17
00629023,7121,CLARK AVE,0, ,40,131,5240,15,0
00629026,7109,Clark AVE,0, ,40,132,5280,15,0
00629027,7107,CLARK AVE,0, ,40,132,5280,15,0
00629044,3138,W 70 ST,9,Stockyards,30,122,3660,15,17
00629051,3172,W 70 ST,9,Stockyards,45,122,5490,15,17
00630008,6801,CLARK AVE,9,Stockyards,33,132,4356,15,17
00630026,3160,W 68 ST,9,Stockyards,122,0,32203,15,17
00630030,3150,68 ST,0, ,30,122,3660,15,0
00630038,3124,W 68 ST,9,Stockyards,30,122,3660,15,17
00630056,3157,70 ST,0, ,30,122,3660,15,0
00630060,3173,70 ST,0, ,30,122,3660,15,0
00630061,3191,W 70 ST,9,Stockyards,122,0,14610,15,17
00630064,70,W 70 ST,9,Stockyards,3,122,366,15,17
00701006,0,LORAIN AVE,10,Ohio City,27,0,3218,15,14
00701023,2054,W  41 ST,23, ,34,125,4250,15,14
00701036,2138,W 41 ST,10,Ohio City,30,125,3750,15,14
00701037,2142,W 41 ST,10,Ohio City,30,125,3750,15,14
00701039,2156,W 41 ST,10,Ohio City,30,82,2460,15,14
00701041,2133,W 42 ST,10,Ohio City,19,125,2375,15,14
00701074,4300,ORCHARD AVE,10,Ohio City,30,102,3060,15,14
